producto_id;precio;valor_flete;departamento_vendedor;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto;nombre_categoria_producto
d1ef230269a528a5683f93b17ced0fbb;39.99;17.92;SP;1150.0;20.0;18.0;43.0;brinquedos
8d0fb54bb58d39a72269eb8fc708e865;23.9;7.43;SP;200.0;16.0;10.0;16.0;esporte_lazer
2ffdf10e724b958c0f7ea69e97d32f64;213.9;13.0;SP;263.0;17.0;12.0;13.0;relogios_presentes
ff5d7f21d255435967dfbe72b5dcdb57;39.0;15.1;SP;167.0;17.0;3.0;17.0;telefonia
4a52073965ad17f345f579bdbdbabd74;35.4;12.23;SP;350.0;16.0;5.0;11.0;perfumaria
817e1c2d22418c36386406ccacfa53e8;159.0;16.82;SP;2750.0;50.0;50.0;16.0;moveis_decoracao
e30aaafe45e34ce07003ef0cfcb6e49d;160.0;9.52;SP;1550.0;40.0;9.0;32.0;cama_mesa_banho
6274a0ea8a8aef3110f12c9a12897680;29.9;7.47;SP;300.0;40.0;5.0;40.0;utilidades_domesticas
8bff0b13faf092077c3bba691c07ff16;189.0;16.55;SC;879.0;31.0;15.0;24.0;beleza_saude
0ddee7337ebe743e2d8f2fdfd671729a;27.49;7.45;SP;340.0;24.0;13.0;18.0;brinquedos
b4168a64b570417bededa30b167c6148;28.0;7.78;SP;200.0;16.0;2.0;11.0;beleza_saude
ead3077a141a9c800d6a4bb9d0d415b6;24.99;8.82;SP;1150.0;22.0;4.0;28.0;cama_mesa_banho
48c5608bfb241a35beb7a00d960cd27f;54.75;16.14;SP;700.0;29.0;13.0;13.0;utilidades_domesticas
6c3effec7c8ddba466d4f03f982c7aa3;27.9;15.1;SP;100.0;16.0;12.0;12.0;consoles_games
1486ffdf6241755c77f5345b01232361;59.99;15.63;SP;1600.0;40.0;4.0;28.0;cama_mesa_banho
8ae1198dd85742fe30b74a96968f250e;125.99;23.46;SP;1700.0;40.0;6.0;30.0;cama_mesa_banho
bd6eb9532e448ca538cec41d0b9dc228;235.0;85.21;SP;1100.0;90.0;20.0;40.0;instrumentos_musicais
